City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Sharlyk,RU,2022-05-22 04:43:20,52.9167,54.75,44.26,66,94,13.82
280,Tual,ID,2022-05-22 04:43:21,-5.6667,132.75,81.03,80,95,13.0
281,Gambela,ET,2022-05-22 04:43:21,8.25,34.5833,73.98,89,99,3.56
282,Suba,PH,2022-05-22 04:43:22,10.8438,121.0102,84.22,70,99,6.42
283,Chokwe,MZ,2022-05-22 04:43:22,-24.5333,32.9833,64.53,96,97,1.72
284,Kruisfontein,ZA,2022-05-22 04:43:22,-34.0033,24.7314,47.88,87,2,4.45
285,Aklavik,CA,2022-05-22 04:42:19,68.2191,-135.0107,34.66,86,99,4.97
286,Santa Fe,AR,2022-05-22 04:39:26,-31.6333,-60.7,57.0,92,26,1.01
287,Catamarca,AR,2022-05-22 04:43:23,-28.4696,-65.7852,54.59,53,27,8.14
288,Te Anau,NZ,2022-05-22 04:39:20,-45.4167,167.7167,42.4,79,52,4.29
289,Minna,NG,2022-05-22 04:43:24,9.6139,6.5569,76.71,83,0,2.3
290,Arak,IR,2022-05-22 04:43:24,34.0917,49.6892,56.16,35,0,0.0
291,Matagami,CA,2022-05-22 04:43:25,49.7502,-77.6328,37.51,87,40,2.3
292,Ouadda,CF,2022-05-22 04:43:25,8.0777,22.4007,69.93,89,99,0.58
293,Arys,KZ,2022-05-22 04:43:25,42.4252,68.795,62.62,49,100,5.1
